101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;quota = 3.9 out of 39
       16.00000 (4: 9+8.99999999441+8.99999999907+9+16.0 > 9+8.99999999441+8.99999999907+9+12.0);       18.00000 (2: 9+8.99999999441+8.99999999907+9+18.0 > 9+8.99999999441+8.99999999907+9+17.0);       12.00000 (6: 9+8.99999999441+8.99999999907+9+12.0 > 9+8.99999999441+8.99999999907+9+12.0);        8.00000 (9: 9+8.99999999441+8.99999999907 > 9+8.99999999441+8.89743589796);       12.00000 (5: 9+8.99999999441+8.99999999907+9+12.0 > 9+8.99999999441+8.99999999907+9+12.0);       21.00000 (1: 9+8.99999999441+8.99999999907+9+21.0 > 9+8.99999999441+8.99999999907+9+18.0);        7.00000 (10: 9+8.99999999441+8.89743589796+9+7.0 > 9+8.99999999441+8.89743589796+9+7.0);       12.00000 (8: 9+8.99999999441+8.99999999907+9+12.0 > 9+8.99999999441+8.99999999907+9+8.0);       17.00000 (3: 9+8.99999999441+8.99999999907+9+17.0 > 9+8.99999999441+8.99999999907+9+16.0);       12.00000 (7: 9+8.99999999441+8.99999999907+9+12.0 > 9+8.99999999441+8.99999999907+9+12.0);        7.00000 (13: 9+8.99999999441+8.89743589796 > 9+8.99999999441+8.5384615371);        4.00000 (16: 8+7.3205128219+7.41025641095+8+4.0);        6.00000 (14: 9 > 7);        9.00000 (15: 7+7.53846153617 > 8+7.3205128219);        7.00000 (11: 9+8.99999999441+8.89743589796+9+7.0 > 9+8.99999999441+8.89743589796+9+7.0);        7.00000 (12: 9+8.99999999441+8.89743589796+9+7.0 > 9+8.99999999441+8.89743589796+9+7.0);Alpha = 9  Seating 106  Trunc_Sum = 0
       13.95714 (3: 9+9.0+9.0+9+13.9571428571 > 9+9.0+9.0+9+11.0714285714);       15.77143 (1: 9+9.0+9.0+9+15.7714285714 > 9+9.0+9.0+9+14.9571428571);       10.51429 (7: 9+9.0+9.0 > 9+9.0+8.97802197933);        7.62857 (8: 9+9.0+8.97802197933 > 9+9.0+8.8260073266);       10.51429 (6: 9+9.0+9.0+9+10.5142857143 > 9+9.0+9.0+9+10.5142857143);;        6.44286 (9: 9+9.0+8.8260073266 > 9+9.0+8.80219780141);       11.07143 (4: 9+9.0+9.0+9+11.0714285714 > 9+9.0+9.0+9+10.7);       14.95714 (2: 9+9.0+9.0+9+14.9571428571 > 9+9.0+9.0+9+13.9571428571);       10.70000 (5: 9+9.0+9.0+9+10.7 > 9+9.0+9.0+9+10.5142857143);        6.25714 (10: 9+9.0+8.80219780141+9+6.25714285714 > 9+9.0+8.80219780141+9+6.25714285714);        4.25714 (15: 7+6.97435898054+7.19597069593+7+4.25714285714);        5.44286 (13: 9 > 7);        8.25714 (14: 7+7.44322344102 > 7+6.97435898054);        6.44286 (12: 9+9.0 > 9+8.79120879527);        6.25714 (11: 9+9.0+8.80219780141 > 9+9.0+8.75641025556);Alpha = 9  Seating 102  Trunc_Sum = 0
       11.85171 (2: 9+9.0+9.0+9+11.8517080745 > 9+9.0+9.0+9+9.72550465839);;        9.70885 (4: 9+9.0+9.0+9+9.70885093168 > 9+9.0+9.0+9+9.01292701863);        6.68536 (7: 9+9.0+8.79277651757 > 9+9.0+8.64137402549);        9.01293 (5: 9+9.0+9.0+9+9.01292701863 > 9+9.0+9.0+9+8.9972826087);;        5.79286 (9: 9+8.98534798622 > 9+8.93772894144);        9.72550 (3: 9+9.0+9.0+9+9.72550465839 > 9+9.0+9.0+9+9.70885093168);       13.45578 (1: 9+9.0+9.0+9+13.4557841615 > 9+9.0+9.0+9+11.8517080745);        8.99728 (6: 9+9.0+9.0 > 9+9.0+8.79277651757);        5.60714 (10: 9+8.93772894144 > 9+8.88609850407);        7.24457 (14: 6+6.66457636654+6.91823936999+6+7.24456521739);        4.29829 (12: 9 > 7);        7.60714 (13: 7 > 6);        5.99422 (8: 9+9.0 > 9+8.98534798622);        5.40578 (11: 9+8.88609850407 > 9+8.20425227284);Alpha = 9  Seating 109  Trunc_Sum = 0
        9.98343 (1: 9+8.99999999814+9.0000000014+9+9.98343321525 > 9+8.99999999814+9.0000000014+9+8.40950726814);;        8.40951 (2: 9+8.99999999814+9.0000000014+9+8.40950726814 > 9+8.99999999814+9.0000000014+9+8.05982398699);        5.94135 (6: 9+8.99999999814 > 9+8.74043238256);        7.26394 (5: 9+8.99999999814+8.93127440708 > 9+8.99999999814+8.5792277134);;        4.58135 (9: 9+8.67470610328 > 9+8.56577259395);        8.05982 (3: 9+8.99999999814+9.0000000014 > 9+8.99999999814+8.98059566785);;        7.64865 (4: 9+8.99999999814+8.98059566785 > 9+8.99999999814+8.93127440708);        4.27182 (10: 9 > 7);        5.96760 (13: 6+6.42185593303+6.61039016303+6+5.96760075188);        4.77139 (11: 7+7.58289339859 > 7+7.0);        6.37779 (12: 7 > 6);        5.05471 (7: 9+8.74043238256 > 9+8.70513068512);        4.70229 (8: 9+8.70513068512 > 9+8.67470610328);Alpha = 9  Seating 101  Trunc_Sum = 0
;;        7.43934 (1: 9+9.0+8.9537618123 > 9+9.0+8.90569419041);        4.54451 (5: 9+8.39852773771 > 9+8.33705371432);        5.74763 (4: 9+8.97375099175 > 9+8.39852773771);;        4.61174 (9: 8 > 7);        7.06441 (2: 9+9.0+8.90569419041 > 9+9.0+8.76115020085);;        5.93697 (3: 9+9.0 > 9+8.97375099175);        5.18580 (8: 8+8.28428508528 > 8+8.14074288681);        5.45748 (12: 6+6.14681019634+6.40753140673+6+5.45748112863);        5.43152 (11: 6+6.84227284603 > 6+6.14681019634);        5.70443 (10: 7 > 6);        4.26812 (6: 9+8.33705371432 > 9+8.32875312679);        4.05337 (7: 9 > 8);Alpha = 9  Seating 103  Trunc_Sum = 0
;;;        4.02027 (4: 9+8.12968675978 > 9+7.99201667774);        5.00227 (3: 9+8.78263372462 > 9+8.12968675978);;        6.23075 (7: 7+7.73583945818 > 8+7.63320956845);        6.23702 (1: 9+8.99999999907 > 9+8.79135223106);;        5.03627 (2: 9+8.79135223106 > 9+8.78263372462);        3.91620 (8: 8 > 6);        4.49104 (11: 6+5.65154833719+5.94548439141+6+4.49103851499);        5.43152 (9: 6+6.8422728451 > 7+6.63247879595);        4.41667 (10: 7 > 6);        3.96496 (5: 9 > 8);        4.00558 (6: 8 > 7);Alpha = 9  Seating 108  Trunc_Sum = 0
;;;        4.95462 (4: 7+7.0956286937 > 7+6.97062465176);        4.24948 (1: 9 > 8);;        4.24009 (7: 7+6.58720268682 > 7+6.38544753939);;;        5.69497 (2: 8 > 7);        4.71395 (6: 7+6.92796340212 > 7+6.58720268682);        4.82182 (10: 5+5.06313532963+5.40465948544+5+4.82182081148);        5.99781 (9: 5+5.54421858117 > 5+5.06313532963);        3.97260 (8: 7 > 5);        4.42288 (3: 7+7.20528630912 > 7+7.0956286937);        5.03677 (5: 7+6.97062465176 > 7+6.92796340212);Alpha = 9  Seating 105  Trunc_Sum = 0
;;;        4.48045 (5: 6+5.98344153631 > 6+5.86306580063);;;        4.79828 (4: 6+6.07435896434 > 6+5.98344153631);;;        5.51351 (1: 7+7.26517371554 > 7+6.81123273633);        4.96285 (3: 6+6.25477819238 > 6+6.07435896434);        7.22089 (9: 4+4.36440979689+4.78297182033+4+7.22089243867);        4.20318 (8: 5 > 4);        4.26639 (6: 6 > 5);        5.95394 (7: 5+5.38330355845 > 5+4.57773929369);        4.50636 (2: 7 > 6);Alpha = 7  Seating 110  Trunc_Sum = 0.65553
;;;        4.38283 (4: 5+4.65533422865 > 5+4.3173064068);;;        4.64346 (3: 5+4.9221998658 > 5+4.65533422865);;;;        3.98008 (5: 5 > 4);        4.91127 (6: 4+3.91677769832 > 5+3.62567903288);        4.28906 (8: 3+2.78066361882+3.11185762472+3+4.28905645581);        5.63429 (2: 5+5.51173537783 > 5+4.9221998658);        4.34720 (7: 5 > 3);        4.30932 (1: 6 > 5);Alpha = 6  Seating 116  Trunc_Sum = 0
